Summary,Issue Type,Priority,Description,Labels,Epic Name
"Security Hardening for Lab Platform","Epic","Highest","Program of work to close critical trust-boundary risks across API, websocket, validator execution, identity, and runtime isolation.","security p0 architecture epic",Security Hardening for Lab Platform
"Scalable Session Lifecycle and Runtime Reliability","Epic","Highest","Program of work to make session provisioning and terminal lifecycle reliable under burst and sustained load.","scalability reliability p1 architecture epic",Scalable Session Lifecycle and Runtime Reliability
"Frontend Resilience and Maintainability","Epic","High","Program of work to improve frontend reliability, error handling, websocket resilience, and component architecture.","frontend reliability code-quality epic",Frontend Resilience and Maintainability
"Deployment Safety, Observability, and CI Hardening","Epic","High","Program of work to harden Helm, CI/CD, secrets management, release determinism, and production observability.","devops cicd observability architecture epic",Deployment Safety, Observability, and CI Hardening
"Replace shell-based validation with allowlisted execution model","Story","Highest","Remove request-driven shell execution in validation path. Replace with server-side allowlisted validation actions/templates. Add timeout and output limits. Evidence: backend/internal/validator/validator.go:45 and backend/cmd/server/main.go:95.","security p0 backend epic:Security Hardening for Lab Platform",
"Enforce authentication and authorization on API and websocket routes","Story","Highest","Add auth middleware to protected REST routes and websocket upgrade path. Reject unauthenticated requests and unauthorized session access. Evidence: backend/cmd/server/main.go:93.","security p0 backend websocket epic:Security Hardening for Lab Platform",
"Enforce session ownership to prevent IDOR","Story","Highest","Scope session operations to authenticated user for get/end/validate flows. Return 403 on cross-user access attempts. Evidence: backend/internal/lab/service.go:268,298,324.","security p0 backend idor epic:Security Hardening for Lab Platform",
"Remove privileged pod mode and enforce restricted security context","Story","Highest","Disable privileged pod creation. Enforce non-root, minimal capabilities, and restricted runtime defaults for lab containers. Evidence: backend/internal/k8s/k8s.go:51.","security p0 k8s epic:Security Hardening for Lab Platform",
"Restrict websocket origin checks to trusted allowlist","Story","High","Replace CheckOrigin true with explicit environment-driven allowlist and deny unknown origins. Evidence: backend/internal/websocket/websocket.go:19.","security websocket backend epic:Security Hardening for Lab Platform",
"Remove client-supplied user identity from session start flow","Story","High","Stop sending user_id from frontend and derive identity server-side from auth context. Evidence: frontend/src/components/LabWorkspace.tsx:143.","security frontend backend identity epic:Security Hardening for Lab Platform",
"Start websocket hub run loop during server startup","Bug","Highest","Ensure websocket hub loop is started and registration channel consumers are active to prevent blocked terminal connections. Evidence: backend/cmd/server/main.go:58 and backend/internal/websocket/websocket.go:99.","reliability p0 backend websocket epic:Scalable Session Lifecycle and Runtime Reliability",
"Move session provisioning to async worker flow","Story","High","Decouple API latency from Kubernetes scheduling by introducing pending session state and background pod provisioning worker.","scalability p1 backend k8s epic:Scalable Session Lifecycle and Runtime Reliability",
"Fix concurrent map access in lab service","Bug","Highest","Eliminate race conditions around podPool map access under concurrent handlers. Add synchronization or remove mutable in-memory state from request paths. Evidence: backend/internal/lab/service.go:20,258,287.","reliability p0 backend concurrency epic:Scalable Session Lifecycle and Runtime Reliability",
"Validate and bound-check step index to prevent panic","Bug","Highest","Reject invalid or negative step values with 400 and prevent out-of-range panics in ValidateStep. Evidence: backend/internal/lab/service.go:349,352,357.","reliability p0 backend api epic:Scalable Session Lifecycle and Runtime Reliability",
"Configure database pooling and connection lifecycle settings","Story","High","Set max open/idle connections and connection lifetime/idle timeout. Add request/query timeout policy for DB calls. Evidence: backend/internal/db/db.go:29.","scalability p1 backend database epic:Scalable Session Lifecycle and Runtime Reliability",
"Implement complete ExecInPod execution path","Story","High","Replace stubbed pod exec with real execution handling, timeout, and deterministic stdout/stderr/exit status behavior. Evidence: backend/internal/k8s/k8s.go:80,94.","reliability p1 backend k8s epic:Scalable Session Lifecycle and Runtime Reliability",
"Make startup lab import idempotent","Story","Medium","Prevent duplicate lab insertion on restarts using unique key + upsert/skip policy. Evidence: backend/internal/lab/service.go:391 and backend/cmd/server/main.go:119.","reliability backend data-integrity epic:Scalable Session Lifecycle and Runtime Reliability",
"Implement websocket reconnect with exponential backoff in terminal UI","Story","High","Add bounded auto-reconnect strategy, reconnect status, and manual reconnect action for terminal websocket path. Evidence: frontend/src/components/Terminal.tsx:60,65.","frontend reliability websocket epic:Frontend Resilience and Maintainability",
"Add user-visible error states and retries for core lab flows","Story","High","Replace console-only failures with visible actionable errors for lab fetch/start/end/validate. Evidence: frontend/src/components/LabWorkspace.tsx:129,153,165,188.","frontend ux reliability epic:Frontend Resilience and Maintainability",
"Refactor LabWorkspace into focused hooks/components","Story","Medium","Split orchestration concerns into modular hooks/components for session, timer, filters, API interactions, and presentation to improve maintainability and testability. Evidence: frontend/src/components/LabWorkspace.tsx.","frontend code-quality maintainability epic:Frontend Resilience and Maintainability",
"Fix Helm env templating to valid Kubernetes env structure","Bug","High","Render deployment env vars as valid name/value list (or envFrom) and validate chart rendering in CI. Evidence: helm/templates/deployment.yaml:44 and helm/values.yaml:74.","devops helm reliability epic:Deployment Safety, Observability, and CI Hardening",
"Externalize secrets and remove insecure defaults","Story","Highest","Move credentials/secrets to Kubernetes Secrets or secret manager. Remove hardcoded defaults and fail fast in non-dev environments. Evidence: helm/values.yaml:75,76 and backend/internal/config/config.go:17,20.","security devops p0 secrets epic:Deployment Safety, Observability, and CI Hardening",
"Adopt immutable image tags/digests in build and deploy flows","Story","High","Replace latest tags with immutable versioned tags or digests for deterministic releases and rollback safety. Evidence: helm/values.yaml:6 and .github/workflows/ci-cd.yml:75.","devops release-management cicd epic:Deployment Safety, Observability, and CI Hardening",
"Implement real CD deployment stage with rollout verification","Story","High","Replace placeholder deploy job with actual deployment, rollout status checks, and post-deploy health verification gates. Evidence: .github/workflows/ci-cd.yml:103.","devops cicd deployment epic:Deployment Safety, Observability, and CI Hardening",
"Add baseline observability and alerting","Story","Medium","Expose metrics endpoint and instrument API, DB pool, session lifecycle, and websocket metrics. Provide dashboards and alert thresholds. Evidence: helm/values.yaml:18 and backend/cmd/server/main.go:70.","observability devops sre epic:Deployment Safety, Observability, and CI Hardening",
"Add CI security and quality gates","Story","Medium","Add dependency scanning, container scanning, and required backend/frontend test gates that block merges/releases on failures.","cicd security quality epic:Deployment Safety, Observability, and CI Hardening",
"Add backend and frontend regression tests for critical workflows","Story","Medium","Create automated test coverage for session lifecycle, validation, websocket disconnect/reconnect, and error handling paths.","testing reliability quality",""